"folder","mean_real_time","standard_deviation_real_time"
"1",143.03328,3.20372871485459
"2",139.71141,6.12132402838675
"3",139.61648,4.39226123047886
"4",141.05061,2.95766869664114
"5",140.17226,4.08167939693871
"6",139.88201,4.3082200418725
"7",140.28433,4.06277366333579
"8",141.11083,3.6892065749462
"9",139.9988,4.57273311062543
"10",139.7941,3.93251659599521
"11",139.91868,3.57755855998207
"12",140.19073,5.34957702444829
"13",140.45776,4.22768431282291
"14",140.37598,5.27190343403384
"15",140.47123,3.30112885453483
"16",138.05908,4.7822660865774
"17",141.6974,3.34567392616226
"18",139.64487,3.97179532632819
"19",140.57614,3.05015205456377
"20",139.22834,5.64406944530578
"21",139.97027,4.37735291270001
"22",140.9395,3.80723807339057
"23",139.64026,4.03029771720315
"24",137.84074,4.39069454854079
"25",140.72133,2.98166691246167
"26",140.16461,4.62953163609408
"27",140.88291,3.74302777320849
"28",140.23649,3.7387445753754
"29",138.65439,5.80933098930792
"30",140.58816,4.11339008781631